,user_id,language,platform,gender,age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26
0,080c468b-27c0-455c-aa63-b8f807f2e3d7,en,Desktop,male,34.0,9.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,3.0,6.0,4.0,5.0,4.0,8.0,4.0,6.0,5.0,6.0,6.0,5.0,2.0,5.0,3.0
1,0b0379c7-04db-4c85-84bd-a2bd55329e29,en,Mobile,female,19.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0
2,0e623280-b28b-4d4a-8eea-0732f09ed497,en,Mobile,female,19.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0
3,045dc0f3-a730-4d03-a615-f51814e5b04f,en,Mobile,male,21.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,8.0,7.0,8.0,10.0,9.0,5.0,7.0,7.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,6.0
5,19c0851c-cbb1-45b5-9e78-884b761802ac,en,Mobile,female,53.0,10.0,9.0,9.0,9.0,5.0,6.0,8.0,7.0,4.0,5.0,5.0,5.0,4.0,4.0,8.0,5.0,8.0,7.0,7.0,7.0,8.0,6.0,10.0,10.0,10.0,10.0
7,78e234a7-c15a-49e5-b38c-7fb47b294ca8,en,Mobile,female,20.0,9.0,5.0,10.0,6.0,8.0,10.0,9.0,10.0,7.0,6.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,2.0,8.0,8.0,7.0
8,1331586c-ee72-4fc1-b622-812f54a49f6c,en,Mobile,female,19.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,5.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,35913db6-2e1e-4028-a631-473241be215c,en,Mobile,male,19.0,7.0,8.0,4.0,7.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0
10,31d15d10-ae4f-4527-9aba-c0f93d329cb2,en,Mobile,female,13.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,6.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0
11,1e41998a-cda9-4b44-aa34-8bcde6752d0a,en,Mobile,male,18.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
12,7c390c81-d248-4099-9abc-7b787be98b47,en,Mobile,female,19.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,10.0
13,5f294260-b679-434f-8818-e09ecd02ae70,en,Mobile,female,34.0,10.0,8.0,10.0,6.0,10.0,8.0,10.0,9.0,10.0,7.0,6.0,5.0,8.0,9.0,10.0,6.0,10.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0
14,76dad81c-1a4a-4153-9932-f03188b1ae25,en,Desktop,female,29.0,10.0,10.0,5.0,8.0,9.0,9.0,10.0,9.0,7.0,3.0,10.0,5.0,7.0,10.0,10.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
15,3cd5d4f2-97f1-418c-bc49-ff0c2a58c855,en,Mobile,male,19.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,2.0,7.0,3.0,8.0,5.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0
17,20ba7dbd-f51c-49ff-9bf2-a777cd6d13f8,es,Mobile,female,44.0,9.0,7.0,7.0,7.0,5.0,8.0,9.0,8.0,6.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,5.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0
18,6167cd49-a021-4f3f-b29b-a7ed48b9d94f,en,Desktop,female,21.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0
19,824afe21-5c5b-4e61-a556-75bef43196e9,en,Mobile,male,20.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0
20,8330a755-ac13-444b-90ca-7ddc4f4f3992,en,Mobile,male,20.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0
21,6ee3efea-f12c-4740-937a-62f34a53e2ec,en,Mobile,female,20.0,10.0,9.0,8.0,7.0,8.0,10.0,9.0,9.0,7.0,6.0,10.0,7.0,9.0,10.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0
22,3931df86-6c91-45c8-ae55-dd3a1036647f,en,Mobile,male,18.0,3.0,6.0,7.0,9.0,7.0,3.0,1.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0
23,60b7d252-ffba-432f-a243-8b0d5f81331d,en,Mobile,female,2.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0
24,75b63c62-9473-4ddc-979f-66b8de0a3683,en,Mobile,male,21.0,8.0,7.0,9.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0
25,518a2693-4f58-463e-ac2c-c5ce06d3c9fb,en,Mobile,male,27.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,8.0,8.0,10.0,8.0,5.0,8.0
26,8ebeb6f9-b48c-4067-a307-1da81fde67da,en,Mobile,female,18.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,7.0,7.0,10.0,10.0,7.0,7.0,8.0,6.0
27,7e80110b-c26c-43b1-8bc2-2515642420ad,en,Mobile,female,45.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
28,702da1cd-9691-4f0b-9ab9-020f9454d86b,en,Mobile,female,51.0,9.0,8.0,8.0,8.0,9.0,7.0,6.0,7.0,5.0,7.0,6.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
